 *                                      
 * hydrostatic:  btemp=  3.000E+07 bden=  1.500E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
     41  2.097184358468E+14  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.235914E+17  1.443933E+17  1.387295E+09  8.300356E+07
     42  4.927579463190E+14  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  6.054098E+17  3.140790E+17  1.349095E+09  8.178021E+07
     43  7.287434221717E+14  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.916212E+17  4.426808E+17  1.319944E+09  8.084010E+07
     44  1.074266499419E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.733908E+17  6.126979E+17  1.281153E+09  7.958010E+07
     45  1.387782968673E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.585924E+17  7.507461E+17  1.249451E+09  7.854246E+07
     46  1.875994988536E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.383069E+17  9.401079E+17  1.205672E+09  7.709741E+07
     47  2.318913892775E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.223142E+17  1.089554E+18  1.170885E+09  7.593880E+07
     48  2.748372270487E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  5.086078E+17  1.217781E+18  1.140870E+09  7.493158E+07
     49  3.227430757326E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.950597E+17  1.344688E+18  1.111015E+09  7.392250E+07
     50  3.706754246833E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.830421E+17  1.457412E+18  1.084370E+09  7.301576E+07
     51  4.247256647045E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.710299E+17  1.570252E+18  1.057579E+09  7.209802E+07
     52  4.792361484186E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.602969E+17  1.671233E+18  1.033505E+09  7.126803E+07
     53  5.407487867410E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.495722E+17  1.772300E+18  1.009318E+09  7.042892E+07
     54  6.029734007737E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.399717E+17  1.862926E+18  9.875507E+08  6.966921E+07
     55  6.732081172157E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.303891E+17  1.953549E+18  9.657119E+08  6.890256E+07
     56  7.444302081796E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.218023E+17  2.034913E+18  9.460445E+08  6.820827E+07
     57  8.248377476465E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.132417E+17  2.116191E+18  9.263433E+08  6.750900E+07
     58  9.065866987571E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  4.055622E+17  2.189256E+18  9.085881E+08  6.687550E+07
     59  9.989006574435E+15  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.979166E+17  2.262159E+18  8.908326E+08  6.623878E+07
     60  1.093025120317E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.910499E+17  2.327787E+18  8.748173E+08  6.566168E+07
     61  1.199343724881E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.842239E+17  2.393186E+18  8.588311E+08  6.508294E+07
     62  1.308100956294E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.780853E+17  2.452153E+18  8.443969E+08  6.455805E+07
     63  1.430988975180E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.719935E+17  2.510829E+18  8.300179E+08  6.403293E+07
     64  1.557163481724E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.665068E+17  2.563831E+18  8.170186E+08  6.355625E+07
     65  1.699788187610E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.610725E+17  2.616486E+18  8.040975E+08  6.308058E+07
     66  1.846853491332E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.561692E+17  2.664148E+18  7.923987E+08  6.264830E+07
     67  2.013170444718E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.513234E+17  2.711411E+18  7.807989E+08  6.221813E+07
     68  2.185513927490E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.469419E+17  2.754295E+18  7.702775E+08  6.182662E+07
     69  2.380525661967E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.426227E+17  2.796728E+18  7.598739E+08  6.143823E+07
     70  2.709821897363E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.365311E+17  2.856875E+18  7.451470E+08  6.088626E+07
     71  2.974610349376E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.324771E+17  2.897129E+18  7.353102E+08  6.051614E+07
     72  3.236112631608E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.290415E+17  2.931402E+18  7.269513E+08  6.020070E+07
     73  3.530246464589E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.257136E+17  2.964758E+18  7.188341E+08  5.989357E+07
     74  4.030112066678E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.210553E+17  3.011748E+18  7.074376E+08  5.946098E+07
     75  4.434115707951E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.179837E+17  3.042948E+18  6.999012E+08  5.917403E+07
     76  4.843851616873E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.153452E+17  3.069905E+18  6.934133E+08  5.892642E+07
     77  5.305715382420E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.128196E+17  3.095863E+18  6.871904E+08  5.868843E+07
     78  6.108743834276E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.092721E+17  3.132610E+18  6.784291E+08  5.835252E+07
     79  6.764321866843E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.069597E+17  3.156771E+18  6.727046E+08  5.813251E+07
     80  7.887546243467E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.038405E+17  3.189662E+18  6.649661E+08  5.783443E+07
     81  8.795988667435E+16  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  3.018707E+17  3.210638E+18  6.600688E+08  5.764539E+07
     82  1.039681100638E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.992007E+17  3.239363E+18  6.534182E+08  5.738817E+07
     83  1.170686490791E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.975377E+17  3.257449E+18  6.492686E+08  5.722738E+07
     84  1.412566065394E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.952515E+17  3.282597E+18  6.435543E+08  5.700559E+07
     85  1.615470090417E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.938466E+17  3.298237E+18  6.400374E+08  5.686887E+07
     86  1.876385841652E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.924755E+17  3.313655E+18  6.366011E+08  5.673512E+07
     87  2.180644740227E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.912821E+17  3.327213E+18  6.336070E+08  5.661846E+07
     88  2.803811251298E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.896329E+17  3.346192E+18  6.294642E+08  5.645684E+07
     89  3.274858927311E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.887968E+17  3.355933E+18  6.273617E+08  5.637472E+07
     90  4.327961227589E+17  0.000000E+00  0.000000E+00  3.000000E+07  1.500000E+02  2.875786E+17  3.370288E+18  6.242958E+08  5.625487E+07
